frame,id,x,y,w,h,class_id,score,unique_ids_seen
127,4,366,552,111,60,2,0.486935,5
128,1,295,587,175,75,2,0.642708,5
128,2,951,607,77,80,2,0.775099,5
128,4,366,552,111,60,2,0.486935,5
129,1,295,587,176,75,2,0.642708,6
129,2,953,612,78,80,2,0.775099,6
129,4,366,552,111,60,2,0.486935,6
129,5,1795,653,55,117,0,0.40248,6
130,1,296,588,175,75,2,0.596227,6
130,2,951,618,78,78,2,0.74936,6
130,4,366,552,111,60,2,0.486935,6
130,5,1795,653,55,117,0,0.40248,6
131,1,296,589,175,75,2,0.596227,6
131,2,952,623,78,78,2,0.74936,6
131,4,366,552,111,60,2,0.486935,6
131,5,1795,653,55,117,0,0.40248,6
132,1,297,573,183,89,2,0.590814,6
132,2,952,628,81,80,2,0.820449,6
132,4,366,552,111,60,2,0.486935,6
132,5,1797,657,54,115,0,0.448659,6
133,1,298,571,184,91,2,0.590814,6
133,2,952,632,81,80,2,0.820449,6
133,4,366,552,111,60,2,0.486935,6
133,5,1798,657,54,115,0,0.448659,6
134,1,297,585,175,79,2,0.599699,6
134,2,954,637,84,84,2,0.786644,6
134,4,366,552,111,60,2,0.486935,6
134,5,1797,659,54,116,0,0.513559,6
135,1,297,586,174,78,2,0.599699,6
135,2,954,642,84,85,2,0.786644,6
135,4,366,552,111,60,2,0.486935,6
135,5,1797,660,54,116,0,0.513559,6
136,1,298,590,173,76,2,0.575257,6
136,2,954,645,87,90,2,0.791728,6
136,4,366,552,111,60,2,0.486935,6
136,5,1799,657,53,117,0,0.55092,6
137,1,298,591,173,75,2,0.575257,6
137,2,955,651,87,91,2,0.791728,6
137,4,366,552,111,60,2,0.486935,6
137,5,1799,657,53,117,0,0.55092,6
138,1,298,579,181,86,2,0.564665,6
138,2,955,656,91,94,2,0.820271,6
138,4,366,552,111,60,2,0.486935,6
138,5,1800,657,53,117,0,0.544854,6
139,1,299,578,182,87,2,0.564665,6
139,2,956,662,92,95,2,0.820271,6
139,4,366,552,111,60,2,0.486935,6
139,5,1801,657,53,117,0,0.544854,6
140,1,298,572,186,93,2,0.632983,6
140,2,955,669,95,96,2,0.767026,6
140,4,366,552,111,60,2,0.486935,6
140,5,1801,657,53,117,0,0.544854,6
141,1,299,570,187,95,2,0.632983,6
141,2,956,676,95,97,2,0.767026,6
141,4,366,552,111,60,2,0.486935,6
141,5,1802,657,53,117,0,0.544854,6
142,1,299,572,186,94,2,0.616066,6
142,2,955,679,97,102,2,0.837128,6
142,5,1802,658,53,117,0,0.544854,6
143,1,299,572,186,94,2,0.616066,6
143,2,955,685,98,103,2,0.837128,6
143,5,1803,658,53,117,0,0.544854,6
144,1,298,572,186,94,2,0.597881,6
144,2,957,693,99,104,2,0.826377,6
144,5,1803,658,52,117,0,0.544854,6
145,1,299,572,186,94,2,0.597881,6
145,2,958,699,100,104,2,0.826377,6
145,5,1802,661,52,117,0,0.421732,6
146,1,299,573,186,94,2,0.637719,6
146,2,958,705,106,111,2,0.821893,6
146,5,1803,661,52,117,0,0.421732,6
147,1,299,573,186,94,2,0.637719,6
147,2,959,712,107,112,2,0.821893,6
147,5,1803,662,52,117,0,0.421732,6
148,1,299,573,186,94,2,0.659946,6
148,2,958,721,111,117,2,0.85982,6
148,5,1802,662,54,116,0,0.454792,6
149,1,299,573,186,94,2,0.659946,6
149,2,959,729,112,118,2,0.85982,6
149,5,1802,662,54,116,0,0.454792,6
150,1,299,572,186,95,2,0.684236,6
150,2,961,734,115,122,2,0.830271,6
150,5,1801,662,54,116,0,0.505189,6
151,1,299,572,186,96,2,0.684236,6
151,2,963,742,116,123,2,0.830271,6
151,5,1801,662,54,116,0,0.505189,6
152,1,298,572,187,94,2,0.630057,6
152,2,963,751,119,131,2,0.81192,6
152,5,1801,662,54,116,0,0.505189,6
153,1,298,572,187,94,2,0.630057,6
153,2,964,760,120,132,2,0.81192,6
153,5,1801,662,54,116,0,0.505189,6
154,1,299,572,187,94,2,0.64773,6
154,2,962,766,129,138,2,0.794328,6
154,5,1801,662,54,116,0,0.505189,6
155,1,299,572,187,94,2,0.64773,6
155,2,964,776,131,140,2,0.794328,6
155,5,1801,663,54,116,0,0.505189,6
156,1,300,573,187,93,2,0.628614,6
156,2,964,785,127,143,2,0.796226,6
156,5,1801,663,54,116,0,0.505189,6
157,1,300,574,187,93,2,0.628614,6
157,2,965,795,127,144,2,0.796226,6
157,5,1801,663,54,116,0,0.505189,6
158,1,300,575,187,92,2,0.625055,6
158,2,967,805,139,153,2,0.813437,6
158,5,1801,663,54,116,0,0.505189,6
159,1,300,575,187,92,2,0.625055,6
159,2,969,817,141,154,2,0.813437,6
159,5,1801,663,54,116,0,0.505189,6
160,1,300,577,187,90,2,0.602531,6
160,2,968,827,150,162,2,0.821782,6
160,5,1801,663,55,116,0,0.505189,6
161,1,300,577,187,90,2,0.602531,6
161,2,970,839,152,164,2,0.821782,6
161,5,1801,663,55,116,0,0.505189,6
162,1,300,577,187,90,2,0.622594,6
162,2,972,851,154,175,2,0.852058,6
162,5,1801,664,55,116,0,0.505189,6
163,1,300,577,187,90,2,0.622594,6
163,2,974,864,155,178,2,0.852058,6
163,5,1801,664,55,116,0,0.505189,6
164,1,301,575,187,92,2,0.63095,6
164,2,974,877,159,188,2,0.831724,6
164,5,1801,664,55,116,0,0.505189,6
165,1,301,575,187,92,2,0.63095,6
165,2,976,892,161,190,2,0.831724,6
165,5,1801,664,55,116,0,0.505189,6
